Address,Area,Year,Rooms,Price,Elevator,Parking,Warehouse
جنت‌آباد شمالی,88,1390,2,71.59,1,1,1
سبلان,50,1382,1,56.0,0,1,1
باغ فیض,81,1388,2,74.074,1,1,1
شمس‌آباد,86,1385,2,72.674,1,1,1
میرداماد,200,1401,3,120.0,1,1,1
جنت‌آباد مرکزی,38,1378,1,75.0,0,0,0
جنت‌آباد جنوبی,74,1383,2,80.405,0,1,1
بلوار کشاورز,113,1392,3,69.734,1,1,1
شهرک راه‌آهن,109,1389,2,50.458,1,1,1
چیتگر,100,1401,2,17.5,1,1,1
سعادت‌آباد,120,1380,2,91.666,0,1,1
سیدخندان,102,1401,2,112.5,1,1,1
میرداماد,105,1395,3,95.238,1,1,1
چیتگر,100,1401,2,17.5,1,1,1
سعادت‌آباد,120,1380,2,91.666,0,1,1
سیدخندان,102,1401,2,112.5,1,1,1
میرداماد,105,1395,3,95.238,1,1,1
ولنجک,145,1394,3,200.0,1,1,1
اباذر,97,1387,2,70.618,1,1,1
کوی فراز,76,1392,2,105.263,1,1,1
دریاچه شهدای خلیج فارس,82,1390,2,64.634,1,1,1
چیتگر,150,1400,3,53.333,1,1,1
شهر زیبا,55,1395,1,71.818,1,1,0
تهران‌سر,68,1394,1,55.882,1,1,1
سرو آزاد,108,1401,2,50.0,1,1,1
مولوی,58,1391,1,27.241,1,1,1
هروی,68,1385,1,75.0,0,1,1
پاسداران,152,1401,3,116.447,1,1,1
نواب,45,1381,1,44.444,0,0,1
سرو آزاد,115,1401,2,55.0,1,1,1
جیحون,53,1380,1,45.849,0,0,1
پاسداران,114,1401,2,90.0,1,1,1
نیاوران,250,1401,3,188.0,1,1,1
اقدسیه,370,1401,4,202.702,1,1,1
نیاوران,220,1399,3,240.909,1,1,1
افسریه,70,1392,2,55.714,0,1,1
چیتگر,50,1401,0,21.8,1,1,1
پاسداران,102,1401,2,107.843,1,1,1
شوش,75,,1,33.333,0,0,1
سرو آزاد,20,1401,0,23.0,1,1,1
شاندیز,71,1394,1,31.69,1,1,0
